2015-12-28 06:30:09 status half-installed libprocps3:amd64 2:3.3.9-9
2015-12-28 06:30:10 status unpacked libprocps3:amd64 2:3.3.9-9
2015-12-28 06:30:10 status unpacked libprocps3:amd64 2:3.3.9-9
2015-12-28 06:30:10 install procps:amd64 <none> 2:3.3.9-9
2015-12-28 06:30:10 status half-installed procps:amd64 2:3.3.9-9
2015-12-28 06:30:10 status unpacked procps:amd64 2:3.3.9-9
2015-12-28 06:30:10 status unpacked procps:amd64 2:3.3.9-9
2015-12-28 06:30:10 install sed:amd64 <none> 4.2.2-4+b1
2015-12-28 06:30:10 status half-installed sed:amd64 4.2.2-4+b1
2015-12-28 06:30:10 status unpacked sed:amd64 4.2.2-4+b1
2015-12-28 06:30:10 status unpacked sed:amd64 4.2.2-4+b1
2015-12-28 06:30:10 install sensible-utils:all <none> 0.0.9
2015-12-28 06:30:10 status half-installed sensible-utils:all 0.0.9
2015-12-28 06:30:11 status unpacked sensible-utils:all 0.0.9
2015-12-28 06:30:11 status unpacked sensible-utils:all 0.0.9
2015-12-28 06:30:11 install login:amd64 <none> 1:4.2-3
2015-12-28 06:30:11 status half-installed login:amd64 1:4.2-3
2015-12-28 06:30:11 status unpacked login:amd64 1:4.2-3
2015-12-28 06:30:11 status unpacked login:amd64 1:4.2-3
2015-12-28 06:30:11 install passwd:amd64 <none> 1:4.2-3
2015-12-28 06:30:11 status half-installed passwd:amd64 1:4.2-3
2015-12-28 06:30:12 status unpacked passwd:amd64 1:4.2-3
2015-12-28 06:30:12 status unpacked passwd:amd64 1:4.2-3
2015-12-28 06:30:12 install libslang2:amd64 <none> 2.3.0-2
2015-12-28 06:30:12 status half-installed libslang2:amd64 2.3.0-2
2015-12-28 06:30:13 status unpacked libslang2:amd64 2.3.0-2
2015-12-28 06:30:13 status unpacked libslang2:amd64 2.3.0-2
2015-12-28 06:30:13 install startpar:amd64 <none> 0.59-3
2015-12-28 06:30:13 status half-installed startpar:amd64 0.59-3
2015-12-28 06:30:13 status unpacked startpar:amd64 0.59-3
